Kombinacje 3-liczbowe	Liczba wystąpień
11,29,45	15
11,31,37	15
12,16,28	15
12,21,30	15
12,30,38	15
13,15,25	15
13,16,22	15
13,22,24	15
13,24,42	15
13,25,28	15
13,25,49	15
13,31,40	15
14,19,25	15
14,19,37	15
14,27,49	15
14,34,38	15
14,42,49	15
15,17,42	15
15,20,40	15
15,21,31	15
15,24,41	15
15,25,26	15
15,31,48	15
15,35,44	15
16,19,48	15
16,21,32	15
17,18,40	15
17,20,30	15
17,20,41	15
17,22,31	15
17,31,41	15
17,31,42	15
17,32,34	15
17,36,41	15
17,37,42	15
18,20,49	15
18,28,34	15
18,34,45	15
18,40,49	15
19,24,26	15
19,28,43	15
20,30,47	15
20,42,44	15
21,22,44	15
21,26,41	15
21,36,38	15
21,38,49	15
22,25,38	15
22,30,31	15
22,31,34	15
22,35,39	15
24,34,44	15
24,34,47	15
24,38,42	15
24,42,44	15
24,44,47	15
25,27,43	15
25,30,31	15
25,33,48	15
25,42,44	15
26,38,43	15
28,30,34	15
28,38,39	15
28,40,46	15
29,34,35	15
29,38,44	15
31,34,46	15
31,44,49	15
34,35,49	15
34,36,46	15
34,38,46	15
34,44,45	15
35,37,48	15
36,39,45	15
1,4,5	14
1,7,17	14
1,8,36	14
1,10,37	14
1,13,19	14
1,14,28	14
1,16,21	14
1,17,18	14
1,17,25	14
1,17,36	14
1,19,21	14
1,19,45	14
1,20,41	14
1,26,32	14
1,28,40	14
1,29,35	14
1,29,38	14
1,32,34	14
1,36,37	14
1,37,44	14
1,41,49	14
2,3,21	14
2,4,31	14
2,4,48	14
2,5,10	14
2,5,38	14
2,5,40	14
2,5,49	14
2,8,27	14
2,9,23	14
2,9,49	14
2,13,37	14
2,15,34	14
2,15,49	14
2,17,30	14
2,20,49	14
2,21,39	14
2,29,31	14
2,36,39	14
2,36,45	14
2,37,38	14
2,43,48	14
3,11,12	14
3,11,24	14
3,13,15	14
3,18,20	14
3,20,43	14
3,21,45	14
3,28,43	14
3,31,34	14
3,31,47	14
3,33,34	14
3,34,46	14
3,40,43	14
4,5,17	14
4,5,31	14
4,6,18	14
4,9,29	14
4,15,25	14
4,17,40	14
4,19,20	14
4,19,24	14
4,20,36	14
4,24,32	14
4,25,47	14
4,28,33	14
4,33,35	14
4,34,44	14
4,34,46	14
5,6,36	14
5,11,20	14
5,15,26	14
5,15,32	14
5,15,38	14
5,15,40	14
5,18,28	14
5,27,48	14
5,27,49	14
5,32,34	14
5,36,40	14
6,7,27	14
6,9,38	14
6,11,34	14
6,11,46	14
6,15,21	14
6,16,19	14
6,16,21	14
6,19,20	14
6,19,31	14
6,23,46	14
6,24,28	14
6,26,30	14
6,26,42	14
6,27,49	14
6,41,42	14
7,9,27	14
7,16,38	14
7,20,29	14
7,21,23	14
7,21,24	14
7,21,38	14
7,25,34	14
7,27,34	14
7,27,49	14
7,31,43	14
8,12,17	14
8,14,49	14
8,18,24	14
8,18,27	14
8,24,47	14
8,30,47	14
8,38,42	14
9,10,39	14
9,11,29	14
9,18,36	14
9,18,45	14
9,19,28	14
9,21,32	14
9,27,34	14
9,29,42	14
9,34,39	14
9,35,45	14
9,42,44	14
10,23,44	14
10,26,44	14
10,27,29	14
10,33,35	14
10,35,37	14
10,42,44	14
11,14,39	14
11,17,35	14
11,19,27	14
11,29,32	14
11,33,40	14
11,33,47	14
11,40,45	14
11,41,46	14
12,19,47	14
12,21,23	14
12,21,34	14
12,21,36	14
13,15,35	14
13,15,38	14
13,18,24	14
13,18,34	14
13,19,36	14
13,19,40	14
13,20,26	14
13,20,32	14
13,21,29	14
13,24,31	14
13,24,37	14
13,25,29	14
13,26,31	14
13,31,37	14
13,36,37	14
13,37,40	14
14,23,44	14
14,25,45	14
14,26,40	14
14,27,30	14
14,28,48	14
14,29,49	14
14,30,34	14
14,31,41	14
15,17,40	14
15,25,29	14
15,27,47	14
15,27,48	14
15,28,44	14
15,31,34	14
15,41,42	14
16,19,27	14
16,27,30	14
16,27,35	14
16,33,48	14
16,38,47	14
17,18,23	14
17,20,24	14
17,21,28	14
17,22,46	14
17,23,28	14
17,26,34	14
17,26,38	14
17,26,48	14
17,27,41	14
18,19,20	14
18,19,28	14
18,23,39	14
18,27,46	14
18,30,34	14
18,30,39	14
18,31,42	14
18,35,36	14
18,38,46	14
18,40,46	14
19,20,22	14
19,20,27	14
19,21,37	14
19,25,41	14
19,31,38	14
19,31,47	14
19,34,42	14
19,38,42	14
20,22,26	14
20,24,41	14
20,24,43	14
20,29,30	14
20,29,49	14
20,39,45	14
21,24,36	14
21,28,36	14
21,28,43	14
21,28,46	14
21,32,42	14
21,33,44	14
21,34,37	14
21,36,37	14
21,36,41	14
22,25,45	14
22,37,48	14
22,41,46	14
23,29,38	14
23,30,46	14
24,29,32	14
24,33,43	14
24,34,39	14
25,27,31	14
25,30,35	14
25,30,39	14
25,33,41	14
25,33,45	14
26,28,38	14
26,40,49	14
26,42,46	14
27,29,49	14
27,33,35	14
27,33,43	14
27,34,40	14
28,30,37	14
28,34,38	14
28,36,40	14
28,38,40	14
28,38,43	14
29,32,38	14
30,31,34	14
30,31,47	14
30,32,37	14
30,34,46	14
31,38,43	14
31,42,46	14
32,35,37	14
32,36,39	14
32,39,46	14
32,45,49	14
34,38,45	14
34,44,47	14
36,37,42	14
37,47,48	14
38,40,46	14
38,42,45	14
39,41,43	14
45,46,48	14
1,2,49	13
1,4,49	13
1,5,11	13
1,10,46	13
1,13,17	13
1,14,31	13
1,15,28	13
1,16,29	13
1,17,19	13
1,17,23	13
1,17,34	13
1,17,48	13
1,18,47	13
1,19,20	13
1,19,38	13
1,20,47	13
1,21,27	13
1,22,47	13
1,23,38	13
1,24,35	13
1,24,44	13
1,26,37	13
1,28,36	13
1,34,41	13
1,36,42	13
1,36,44	13
1,41,43	13
1,45,49	13
2,3,6	13
2,3,17	13
2,3,33	13
2,3,40	13
2,5,18	13
2,5,36	13
2,5,39	13
2,6,17	13
2,6,25	13
2,8,21	13
2,10,16	13
2,11,39	13
2,13,31	13
2,13,34	13
2,15,17	13
2,15,40	13
2,15,43	13
2,17,18	13
2,17,36	13
2,17,42	13
2,18,40	13
2,21,25	13
2,21,35	13
2,21,36	13
2,21,38	13
2,22,31	13
2,22,36	13
2,24,39	13
2,25,29	13
2,26,46	13
2,27,40	13
2,28,39	13
2,32,40	13
2,36,48	13
2,38,42	13
3,4,7	13
3,4,32	13
3,6,27	13
3,6,32	13
3,7,11	13
3,7,38	13
3,9,17	13
3,11,28	13
3,17,20	13
3,18,27	13
3,18,34	13
3,20,29	13
3,21,22	13
3,23,25	13
3,23,40	13
3,27,30	13
3,27,34	13
3,28,32	13
4,5,8	13
4,5,10	13
4,5,38	13
4,5,44	13
4,6,15	13
4,9,10	13
4,9,22	13
4,10,31	13
4,10,39	13
4,10,42	13
4,12,29	13
4,15,22	13
4,17,48	13
4,20,31	13
4,20,42	13
4,20,44	13
4,21,37	13
4,21,38	13
4,22,35	13
4,23,27	13
4,24,29	13
4,24,45	13
4,27,29	13
4,27,43	13
4,28,41	13
4,28,45	13
4,31,39	13
4,37,38	13
4,40,45	13
4,40,47	13
5,6,20	13
5,6,42	13
5,7,48	13
5,9,38	13
5,10,16	13
5,10,42	13
5,11,40	13
5,11,44	13
5,13,37	13
5,13,42	13
5,14,40	13
5,15,20	13
5,15,27	13
5,15,35	13
5,15,41	13
5,18,39	13
5,20,48	13
5,21,27	13
5,21,29	13
5,22,31	13
5,23,36	13
5,32,41	13
6,8,12	13
6,8,16	13
6,8,36	13
6,9,10	13
6,10,37	13
6,10,38	13
6,10,47	13
6,11,23	13
6,11,45	13
6,13,18	13
6,15,44	13
6,16,23	13
6,16,37	13
6,16,39	13
6,16,47	13
6,18,49	13
6,19,21	13
6,19,48	13
6,22,38	13
6,28,36	13
6,29,35	13
6,32,42	13
6,32,46	13
6,36,48	13
6,40,47	13
6,41,47	13
7,9,45	13
7,11,46	13
7,13,17	13
7,13,25	13
7,14,25	13
7,17,38	13
7,18,21	13
7,19,45	13
7,19,46	13
7,20,46	13
7,21,25	13
7,22,32	13
7,23,31	13
7,25,28	13
7,25,38	13
7,25,44	13
7,25,46	13
7,25,48	13
7,26,32	13
7,27,41	13
7,31,41	13
7,34,46	13
7,36,38	13
7,37,38	13
7,41,45	13
7,45,48	13
7,46,48	13
8,10,44	13
8,12,37	13
8,12,39	13
8,13,23	13
8,14,26	13
8,15,17	13
8,15,24	13
8,17,26	13
8,17,28	13
8,18,29	13
8,21,25	13
8,21,35	13
8,22,39	13
8,24,29	13
8,27,38	13
8,29,35	13
8,30,36	13
8,32,40	13
8,32,44	13
9,10,41	13
9,13,18	13
9,15,44	13
9,17,30	13
9,17,38	13
9,18,28	13
9,18,37	13
9,18,38	13
9,18,41	13
9,20,42	13
9,21,24	13
9,21,38	13
9,23,34	13
9,28,37	13
9,29,33	13
9,29,43	13
9,31,48	13
9,40,42	13
10,13,23	13
10,15,46	13
10,19,31	13
10,19,34	13
10,23,28	13
10,26,32	13
10,27,39	13
10,27,40	13
10,29,37	13
10,35,42	13
11,12,14	13
11,12,32	13
11,12,37	13
11,12,48	13
11,14,36	13
11,14,37	13
11,15,25	13
11,15,31	13
11,17,34	13
11,21,39	13
11,22,35	13
11,24,39	13
11,29,31	13
11,31,34	13
11,31,41	13
11,35,37	13
11,37,46	13
11,42,46	13
12,15,42	13
12,16,21	13
12,16,23	13
12,16,38	13
12,21,27	13
12,23,24	13
12,24,28	13
12,24,34	13
12,24,44	13
12,24,49	13
12,29,37	13
12,30,46	13
12,32,34	13
12,32,37	13
12,34,36	13
12,38,48	13
12,39,46	13
13,15,20	13
13,16,20	13
13,17,28	13
13,17,37	13
13,20,38	13
13,20,40	13
13,23,24	13
13,24,32	13
13,24,49	13
13,28,31	13
13,31,34	13
13,32,34	13
13,36,40	13
13,38,45	13
14,17,26	13
14,17,36	13
14,17,46	13
14,19,24	13
14,20,26	13
14,21,26	13
14,21,44	13
14,23,40	13
14,25,27	13
14,26,32	13
14,26,38	13
14,26,49	13
14,27,42	13
14,27,45	13
14,28,31	13
14,28,32	13
14,28,34	13
14,28,44	13
14,33,46	13
14,34,40	13
14,37,48	13
14,38,40	13
14,40,42	13
14,42,44	13
15,18,34	13
15,20,33	13
15,24,37	13
15,25,43	13
15,38,43	13
15,38,46	13
16,17,21	13
16,23,24	13
16,24,25	13
16,24,27	13
16,24,37	13
16,27,41	13
16,27,49	13
16,29,36	13
16,31,32	13
16,36,38	13
16,38,39	13
16,38,44	13
16,40,46	13
17,18,27	13
17,18,29	13
17,19,38	13
17,20,23	13
17,21,45	13
17,22,44	13
17,24,26	13
17,24,43	13
17,25,32	13
17,25,47	13
17,26,30	13
17,29,30	13
17,29,40	13
17,30,36	13
17,30,40	13
17,33,49	13
17,37,45	13
17,38,41	13
17,43,49	13
18,20,40	13
18,21,30	13
18,21,45	13
18,22,38	13
18,24,34	13
18,35,47	13
18,36,39	13
18,39,49	13
18,44,46	13
19,20,24	13
19,20,28	13
19,24,31	13
19,24,44	13
19,27,36	13
19,28,36	13
19,33,42	13
19,35,37	13
19,35,39	13
20,21,39	13
20,22,40	13
20,26,40	13
20,27,29	13
20,27,33	13
20,30,36	13
20,31,35	13
20,35,43	13
20,39,46	13
20,46,48	13
21,22,29	13
21,23,26	13
21,23,37	13
21,23,41	13
21,27,49	13
21,30,39	13
21,35,38	13
21,36,39	13
21,37,39	13
21,40,47	13
21,41,49	13
21,42,44	13
22,23,24	13
22,23,40	13
22,25,31	13
22,25,34	13
22,28,46	13
22,30,37	13
22,30,45	13
23,24,44	13
23,26,32	13
23,28,41	13
23,28,49	13
23,37,44	13
24,25,41	13
24,26,37	13
24,26,42	13
24,26,46	13
24,31,45	13
24,35,47	13
24,39,42	13
25,26,27	13
25,26,40	13
25,27,47	13
25,28,38	13
25,36,37	13
25,37,38	13
26,27,40	13
26,27,46	13
26,31,42	13
26,33,34	13
26,34,36	13
26,37,46	13
26,42,44	13
26,42,45	13
27,29,32	13
27,30,34	13
27,30,35	13
27,31,41	13
27,36,46	13
27,38,44	13
27,45,49	13
27,47,49	13
28,34,46	13
28,36,43	13
28,40,43	13
28,41,43	13
28,43,45	13
29,30,34	13
29,31,49	13
29,35,38	13
29,37,48	13
29,38,47	13
30,31,35	13
30,31,42	13
30,31,43	13
30,32,36	13
30,32,39	13
30,36,48	13
31,38,46	13
31,42,47	13
32,33,44	13
32,33,46	13
32,36,47	13
33,43,49	13
33,44,45	13
33,45,47	13
34,37,39	13
34,40,42	13
34,40,46	13
35,36,43	13
35,39,41	13
35,45,49	13
37,44,47	13
41,43,46	13
41,43,48	13
42,44,45	13
44,45,47	13
1,2,17	12
1,2,40	12
1,3,8	12
1,4,44	12
1,7,9	12
1,7,45	12
1,8,33	12
1,8,49	12
1,10,28	12
1,11,33	12
1,12,27	12
1,13,44	12
1,13,45	12
1,14,20	12
1,15,17	12
1,15,30	12
1,15,42	12
1,15,46	12
1,16,36	12
1,17,22	12
1,17,26	12
1,17,28	12
1,17,42	12
1,18,42	12
1,19,25	12
1,20,44	12
1,21,37	12
1,21,43	12
1,22,30	12
1,22,45	12
1,23,28	12
1,26,34	12
1,27,34	12
1,27,38	12
1,28,43	12
1,29,34	12
1,33,35	12
1,34,36	12
1,34,44	12
1,35,45	12
1,37,42	12
1,44,46	12
1,45,48	12
1,47,49	12
2,4,18	12
2,4,40	12
2,5,15	12
2,5,16	12
2,5,27	12
2,5,31	12
2,6,7	12
2,6,10	12
2,6,21	12
2,6,44	12
2,9,18	12
2,9,36	12
2,9,48	12
2,11,33	12
2,12,30	12
2,12,40	12
2,13,29	12
2,14,45	12
2,15,28	12
2,15,46	12
2,15,48	12
2,16,37	12
2,17,26	12
2,17,34	12
2,17,38	12
2,18,42	12
2,19,45	12
2,20,30	12
2,21,24	12
2,21,30	12
2,22,34	12
2,22,40	12
2,22,44	12
2,23,33	12
2,23,34	12
2,23,47	12
2,24,43	12
2,26,29	12
2,26,40	12
2,26,45	12
2,28,33	12
2,30,47	12
2,30,49	12
2,31,34	12
2,32,39	12
2,33,36	12
2,34,49	12
2,36,44	12
2,39,41	12
2,39,46	12
2,39,49	12
2,40,45	12
2,40,49	12
3,6,7	12
3,6,14	12
3,6,25	12
3,6,45	12
3,7,9	12
3,7,23	12
3,7,34	12
3,7,45	12
3,8,10	12
3,8,14	12
3,9,22	12
3,9,38	12
3,11,16	12
3,11,17	12
3,11,34	12
3,11,37	12
3,11,48	12
3,12,24	12
3,13,23	12
3,13,25	12
3,13,27	12
3,13,38	12
3,14,41	12
3,14,43	12
3,14,45	12
3,14,49	12
3,15,31	12
3,15,36	12
3,16,24	12
3,16,28	12
3,16,31	12
3,16,33	12
3,17,18	12
3,19,27	12
3,19,32	12
3,20,36	12
3,20,40	12
3,21,24	12
3,21,41	12
3,22,43	12
3,23,29	12
3,24,48	12
3,27,28	12
3,27,37	12
3,27,46	12
3,27,49	12
3,28,31	12
3,28,33	12
3,31,32	12
3,35,38	12
3,43,46	12
4,5,19	12
4,5,20	12
4,5,29	12
4,5,32	12
4,6,20	12
4,6,27	12
4,6,40	12
4,6,47	12
4,8,17	12
4,8,27	12
4,8,28	12
4,8,32	12
4,8,49	12
4,9,21	12
4,9,31	12
4,9,35	12
4,10,21	12
4,10,22	12
4,10,43	12
4,13,14	12
4,13,18	12
4,14,26	12
4,14,28	12
4,14,42	12
4,15,24	12
4,15,41	12
4,16,31	12
4,16,47	12
4,17,19	12
4,17,20	12
4,17,30	12
4,17,33	12
4,18,25	12
4,18,33	12
4,18,36	12
4,19,21	12
4,19,31	12
4,19,48	12
4,20,24	12
4,20,26	12
4,20,29	12
4,20,35	12
4,21,22	12
4,21,28	12
4,21,29	12
4,21,47	12
4,22,26	12
4,22,38	12
4,22,43	12
4,22,45	12
4,22,47	12
4,25,26	12
4,25,31	12
4,25,33	12
4,26,27	12
4,27,41	12
4,28,36	12
4,30,35	12
4,33,48	12
4,34,49	12
4,35,36	12
4,36,45	12
4,40,42	12
4,40,49	12
4,41,42	12
5,6,17	12
5,6,18	12
5,6,28	12
5,6,40	12
5,6,49	12
5,8,20	12
5,8,22	12
5,8,47	12
5,10,19	12
5,11,23	12
5,12,24	12
5,12,36	12
5,13,20	12
5,13,24	12
5,14,37	12
5,14,42	12
5,15,45	12
5,17,19	12
5,17,23	12
5,17,32	12
5,17,40	12
5,17,42	12
5,17,44	12
5,19,46	12
5,20,24	12
5,20,28	12
5,22,49	12
5,24,29	12
5,25,47	12
5,26,42	12
5,29,38	12
5,29,39	12
5,29,49	12
5,31,38	12
5,35,37	12
5,36,48	12
5,38,43	12
5,39,47	12
5,40,45	12
5,41,42	12
5,42,44	12
5,42,45	12
5,43,45	12
5,48,49	12
6,7,42	12
6,7,43	12
6,7,46	12
6,9,13	12
6,9,18	12
6,10,22	12
6,11,16	12
6,11,42	12
6,12,36	12
6,13,21	12
6,13,39	12
6,14,42	12
6,14,48	12
6,15,43	12
6,16,18	12
6,16,33	12
6,16,36	12
6,17,38	12
6,17,41	12
6,18,19	12
6,19,33	12
6,19,40	12
6,19,45	12
6,19,49	12
6,20,21	12
6,20,29	12
6,20,33	12
6,20,40	12
6,20,42	12
6,20,48	12
6,20,49	12
6,22,37	12
6,24,31	12
6,24,38	12
6,24,41	12
6,25,26	12
6,25,29	12
6,25,45	12
6,27,28	12
6,27,38	12
6,27,44	12
6,28,31	12
6,30,42	12
6,31,42	12
6,32,40	12
6,32,49	12
6,40,49	12
6,41,43	12
7,8,28	12
7,9,21	12
7,10,46	12
7,11,34	12
7,12,18	12
7,12,43	12
7,13,15	12
7,13,16	12
7,14,38	12
7,14,43	12
7,14,48	12
7,15,47	12
7,15,49	12
7,17,28	12
7,17,29	12
7,17,31	12
7,17,41	12
7,18,26	12
7,18,27	12
7,18,29	12
7,18,46	12
7,20,34	12
7,21,29	12
7,21,49	12
7,22,46	12
7,23,36	12
7,23,42	12
7,25,43	12
7,30,46	12
7,32,34	12
7,32,41	12
7,32,46	12
7,34,38	12
7,34,45	12
7,37,45	12
7,38,43	12
7,38,48	12
7,39,42	12
7,45,47	12
8,9,31	12
8,10,18	12
8,10,32	12
8,10,48	12
8,11,35	12
8,12,18	12
8,12,21	12
8,12,36	12
8,14,18	12
8,15,21	12
8,16,24	12
8,16,31	12
8,16,33	12
8,17,18	12
8,17,21	12
8,17,24	12
8,17,48	12
8,18,19	12
8,18,40	12
8,19,27	12
8,19,31	12
8,19,32	12
8,21,31	12
8,21,36	12
8,22,36	12
8,22,47	12
8,24,31	12
8,24,35	12
8,24,46	12
8,28,41	12
8,30,39	12
8,32,36	12
8,32,37	12
8,38,43	12
8,39,41	12
9,10,13	12
9,10,38	12
9,11,17	12
9,11,39	12
9,11,41	12
9,12,17	12
9,13,25	12
9,13,43	12
9,14,27	12
9,14,46	12
9,15,42	12
9,15,47	12
9,16,39	12
9,16,47	12
9,17,18	12
9,17,31	12
9,18,19	12
9,18,26	12
9,18,31	12
9,18,42	12
9,18,46	12
9,18,48	12
9,20,31	12
9,20,45	12
9,21,28	12
9,21,31	12
9,22,36	12
9,22,37	12
9,22,39	12
9,23,47	12
9,25,48	12
9,26,27	12
9,26,29	12
9,26,47	12
9,27,31	12
9,27,39	12
9,28,32	12
9,28,38	12
9,29,41	12
9,30,31	12
9,30,39	12
9,31,34	12
9,32,34	12
9,34,36	12
9,34,40	12
9,40,45	12
9,42,49	12
9,44,45	12
9,47,49	12
10,11,12	12
10,11,23	12
10,11,25	12
10,11,38	12
10,11,44	12
10,12,30	12
10,13,14	12
10,13,22	12
10,13,27	12
10,14,32	12
10,15,31	12
10,15,44	12
10,16,30	12
10,16,32	12
10,17,38	12
10,18,44	12
10,20,30	12
10,20,46	12
10,22,30	12
10,24,26	12
10,24,30	12
10,24,33	12
10,25,27	12
10,26,30	12
10,27,36	12
10,28,32	12
10,28,39	12
10,29,39	12
10,33,43	12
10,33,44	12
10,35,41	12
10,35,47	12
10,36,38	12
10,38,44	12
10,43,47	12
11,12,39	12
11,13,27	12
11,14,15	12
11,14,46	12
11,14,48	12
11,15,33	12
11,15,39	12
11,18,30	12
11,18,46	12
11,19,24	12
11,20,26	12
11,20,29	12
11,21,23	12
11,23,38	12
11,23,40	12
11,24,38	12
11,25,48	12
11,25,49	12
11,28,31	12
11,30,36	12
11,30,40	12
11,30,46	12
11,32,34	12
11,44,46	12
12,13,16	12
12,14,19	12
12,14,21	12
12,14,38	12
12,15,33	12
12,16,29	12
12,18,28	12
12,19,42	12
12,21,39	12
12,23,27	12
12,23,39	12
12,25,29	12
12,27,28	12
12,28,37	12
12,29,32	12
12,32,35	12
12,34,37	12
12,34,44	12
12,35,37	12
12,36,39	12
12,39,42	12
13,14,33	12
13,14,38	12
13,15,31	12
13,15,44	12
13,17,42	12
13,18,23	12
13,19,33	12
13,21,24	12
13,21,28	12
13,22,35	12
13,22,42	12
13,22,48	12
13,23,28	12
13,23,32	12
13,25,47	12
13,26,42	12
13,28,49	12
13,29,37	12
13,29,46	12
13,30,37	12
13,31,35	12
13,33,36	12
13,35,40	12
13,36,39	12
13,38,44	12
13,40,49	12
13,43,49	12
14,15,49	12
14,16,19	12
14,16,29	12
14,16,32	12
14,16,34	12
14,16,40	12
14,17,43	12
14,17,48	12
14,19,23	12
14,19,28	12
14,19,38	12
14,22,23	12
14,25,41	12
14,26,34	12
14,26,42	12
14,30,38	12
14,33,49	12
14,35,37	12
14,36,44	12
14,36,46	12
14,37,45	12
15,17,25	12
15,17,31	12
15,17,35	12
15,17,41	12
15,17,46	12
15,18,21	12
15,20,36	12
15,22,35	12
15,22,40	12
15,27,30	12
15,27,31	12
15,27,44	12
15,28,33	12
15,31,41	12
15,32,34	12
15,33,35	12
15,34,47	12
15,34,49	12
15,37,39	12
15,40,42	12
15,40,43	12
16,18,21	12
16,18,23	12
16,18,40	12
16,19,30	12
16,19,38	12
16,19,39	12
16,21,27	12
16,21,29	12
16,21,31	12
16,22,37	12
16,23,27	12
16,24,31	12
16,24,36	12
16,24,44	12
16,24,49	12
16,25,29	12
16,25,32	12
16,27,32	12
16,27,42	12
16,28,39	12
16,29,32	12
16,29,34	12
16,31,42	12
16,33,47	12
17,18,22	12
17,18,38	12
17,20,32	12
17,21,34	12
17,21,37	12
17,22,26	12
17,22,34	12
17,22,40	12
17,23,24	12
17,23,48	12
17,23,49	12
17,24,27	12
17,24,33	12
17,24,46	12
17,25,37	12
17,26,28	12
17,26,40	12
17,28,29	12
17,29,38	12
17,29,42	12
17,30,31	12
17,30,38	12
17,31,37	12
17,32,44	12
17,34,45	12
17,36,39	12
17,36,49	12
17,37,48	12
17,39,41	12
18,22,26	12
18,23,32	12
18,23,38	12
18,25,29	12
18,25,48	12
18,26,49	12
18,27,34	12
18,27,35	12
18,29,46	12
18,31,49	12
18,33,34	12
18,33,46	12
18,36,37	12
18,40,42	12
18,45,46	12
19,20,21	12
19,20,31	12
19,20,45	12
19,20,46	12
19,22,23	12
19,22,32	12
19,24,45	12
19,24,46	12
19,25,26	12
19,25,28	12
19,25,31	12
19,25,40	12
19,28,32	12
19,28,38	12
19,31,41	12
19,31,45	12
19,31,46	12
19,32,40	12
19,34,37	12
19,34,43	12
19,34,46	12
19,35,45	12
19,36,38	12
19,37,48	12
19,41,42	12
19,41,46	12
19,42,45	12
19,42,47	12
20,21,30	12
20,22,36	12
20,22,45	12
20,23,28	12
20,24,31	12
20,24,46	12
20,25,46	12
20,26,37	12
20,26,48	12
20,27,32	12
20,27,46	12
20,29,42	12
20,30,46	12
20,34,43	12
20,36,42	12
20,36,44	12
20,36,45	12
20,39,43	12
20,42,43	12
20,43,46	12
20,45,48	12
21,22,41	12
21,23,39	12
21,24,37	12
21,25,38	12
21,26,32	12
21,26,44	12
21,27,42	12
21,27,44	12
21,29,35	12
21,29,37	12
21,29,38	12
21,30,40	12
21,30,41	12
21,31,32	12
21,31,34	12
21,31,39	12
21,31,41	12
21,32,34	12
21,32,38	12
21,32,44	12
21,33,36	12
21,38,39	12
21,38,47	12
21,40,49	12
21,45,49	12
22,25,26	12
22,25,36	12
22,27,35	12
22,28,40	12
22,29,35	12
